K,seed,germ_band_push,noise_scale,dt,t_final,folder_name
0.00011,395,0.4,1e-05,1e-05,1000.0,K_0.00011_seed_395_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,396,0.35,1e-05,1e-05,1000.0,K_0.00011_seed_396_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,397,0.3,1e-05,1e-05,1000.0,K_0.00011_seed_397_germ_band_push_0.3_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,398,0.15,1e-05,1e-05,1000.0,K_0.00011_seed_398_germ_band_push_0.15_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,399,0.1,1e-05,1e-05,1000.0,K_0.00011_seed_399_germ_band_push_0.1_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,400,0.0,1e-05,1e-05,1000.0,K_0.00013_seed_400_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,401,0.2,1e-05,1e-05,1000.0,K_0.00011_seed_401_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,402,0.15,1e-05,1e-05,1000.0,K_0.00013_seed_402_germ_band_push_0.15_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,403,0.05,1e-05,1e-05,1000.0,K_0.00013_seed_403_germ_band_push_0.05_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,404,0.1,1e-05,1e-05,1000.0,K_0.00013_seed_404_germ_band_push_0.1_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00012,405,0.05,1e-05,1e-05,1000.0,K_0.00012_seed_405_germ_band_push_0.05_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
9e-05,406,0.4,1e-05,1e-05,1000.0,K_9e-05_seed_406_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.0001,407,0.0,1e-05,1e-05,1000.0,K_0.0001_seed_407_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.0001,408,0.05,1e-05,1e-05,1000.0,K_0.0001_seed_408_germ_band_push_0.05_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.0001,409,0.1,1e-05,1e-05,1000.0,K_0.0001_seed_409_germ_band_push_0.1_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.0001,410,0.15,1e-05,1e-05,1000.0,K_0.0001_seed_410_germ_band_push_0.15_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.0001,411,0.2,1e-05,1e-05,1000.0,K_0.0001_seed_411_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.0001,412,0.25,1e-05,1e-05,1000.0,K_0.0001_seed_412_germ_band_push_0.25_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
9e-05,413,0.35,1e-05,1e-05,1000.0,K_9e-05_seed_413_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
9e-05,414,0.3,1e-05,1e-05,1000.0,K_9e-05_seed_414_germ_band_push_0.3_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
9e-05,415,0.25,1e-05,1e-05,1000.0,K_9e-05_seed_415_germ_band_push_0.25_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
9e-05,416,0.2,1e-05,1e-05,1000.0,K_9e-05_seed_416_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00012,417,0.3,1e-05,1e-05,1000.0,K_0.00012_seed_417_germ_band_push_0.3_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
9e-05,418,0.15,1e-05,1e-05,1000.0,K_9e-05_seed_418_germ_band_push_0.15_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,419,0.4,1e-05,1e-05,1000.0,K_0.00011_seed_419_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00012,420,0.25,1e-05,1e-05,1000.0,K_0.00012_seed_420_germ_band_push_0.25_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00012,421,0.2,1e-05,1e-05,1000.0,K_0.00012_seed_421_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00012,422,0.15,1e-05,1e-05,1000.0,K_0.00012_seed_422_germ_band_push_0.15_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
9e-05,423,0.1,1e-05,1e-05,1000.0,K_9e-05_seed_423_germ_band_push_0.1_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
9e-05,424,0.05,1e-05,1e-05,1000.0,K_9e-05_seed_424_germ_band_push_0.05_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
9e-05,425,0.0,1e-05,1e-05,1000.0,K_9e-05_seed_425_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00012,426,0.0,1e-05,1e-05,1000.0,K_0.00012_seed_426_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00012,427,0.1,1e-05,1e-05,1000.0,K_0.00012_seed_427_germ_band_push_0.1_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,428,0.35,1e-05,1e-05,1000.0,K_0.00011_seed_428_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00014,429,0.2,1e-05,1e-05,1000.0,K_0.00014_seed_429_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00014,430,0.0,1e-05,1e-05,1000.0,K_0.00014_seed_430_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
6e-05,431,0.4,1e-05,1e-05,1000.0,K_6e-05_seed_431_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
6e-05,432,0.35,1e-05,1e-05,1000.0,K_6e-05_seed_432_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
6e-05,433,0.3,1e-05,1e-05,1000.0,K_6e-05_seed_433_germ_band_push_0.3_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
6e-05,434,0.25,1e-05,1e-05,1000.0,K_6e-05_seed_434_germ_band_push_0.25_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
6e-05,435,0.2,1e-05,1e-05,1000.0,K_6e-05_seed_435_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
6e-05,436,0.15,1e-05,1e-05,1000.0,K_6e-05_seed_436_germ_band_push_0.15_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
6e-05,437,0.1,1e-05,1e-05,1000.0,K_6e-05_seed_437_germ_band_push_0.1_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
6e-05,438,0.05,1e-05,1e-05,1000.0,K_6e-05_seed_438_germ_band_push_0.05_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
6e-05,439,0.0,1e-05,1e-05,1000.0,K_6e-05_seed_439_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.0001,440,0.4,1e-05,1e-05,1000.0,K_0.0001_seed_440_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00012,441,0.35,1e-05,1e-05,1000.0,K_0.00012_seed_441_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,442,0.0,1e-05,1e-05,1000.0,K_0.00011_seed_442_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,443,0.05,1e-05,1e-05,1000.0,K_0.00011_seed_443_germ_band_push_0.05_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,444,0.1,1e-05,1e-05,1000.0,K_0.00011_seed_444_germ_band_push_0.1_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,445,0.15,1e-05,1e-05,1000.0,K_0.00011_seed_445_germ_band_push_0.15_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,446,0.2,1e-05,1e-05,1000.0,K_0.00011_seed_446_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,447,0.25,1e-05,1e-05,1000.0,K_0.00011_seed_447_germ_band_push_0.25_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00014,448,0.35,1e-05,1e-05,1000.0,K_0.00014_seed_448_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00014,449,0.3,1e-05,1e-05,1000.0,K_0.00014_seed_449_germ_band_push_0.3_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00014,450,0.25,1e-05,1e-05,1000.0,K_0.00014_seed_450_germ_band_push_0.25_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00014,451,0.15,1e-05,1e-05,1000.0,K_0.00014_seed_451_germ_band_push_0.15_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00014,452,0.1,1e-05,1e-05,1000.0,K_0.00014_seed_452_germ_band_push_0.1_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00014,453,0.05,1e-05,1e-05,1000.0,K_0.00014_seed_453_germ_band_push_0.05_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,454,0.3,1e-05,1e-05,1000.0,K_0.00011_seed_454_germ_band_push_0.3_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00012,455,0.4,1e-05,1e-05,1000.0,K_0.00012_seed_455_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00014,456,0.4,1e-05,1e-05,1000.0,K_0.00014_seed_456_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.0001,457,0.35,1e-05,1e-05,1000.0,K_0.0001_seed_457_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,458,0.25,1e-05,1e-05,1000.0,K_0.00013_seed_458_germ_band_push_0.25_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,459,0.3,1e-05,1e-05,1000.0,K_0.00013_seed_459_germ_band_push_0.3_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,460,0.35,1e-05,1e-05,1000.0,K_0.00013_seed_460_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,461,0.4,1e-05,1e-05,1000.0,K_0.00013_seed_461_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,462,0.1,1e-05,1e-05,1000.0,K_0.00013_seed_462_germ_band_push_0.1_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,463,0.05,1e-05,1e-05,1000.0,K_0.00013_seed_463_germ_band_push_0.05_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,464,0.0,1e-05,1e-05,1000.0,K_0.00013_seed_464_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,465,0.2,1e-05,1e-05,1000.0,K_0.00013_seed_465_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.0001,466,0.3,1e-05,1e-05,1000.0,K_0.0001_seed_466_germ_band_push_0.3_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
8e-05,467,0.0,1e-05,1e-05,1000.0,K_8e-05_seed_467_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
8e-05,468,0.05,1e-05,1e-05,1000.0,K_8e-05_seed_468_germ_band_push_0.05_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
8e-05,469,0.1,1e-05,1e-05,1000.0,K_8e-05_seed_469_germ_band_push_0.1_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
8e-05,470,0.15,1e-05,1e-05,1000.0,K_8e-05_seed_470_germ_band_push_0.15_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
8e-05,471,0.2,1e-05,1e-05,1000.0,K_8e-05_seed_471_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
8e-05,472,0.25,1e-05,1e-05,1000.0,K_8e-05_seed_472_germ_band_push_0.25_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,473,0.15,1e-05,1e-05,1000.0,K_0.00013_seed_473_germ_band_push_0.15_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
8e-05,474,0.35,1e-05,1e-05,1000.0,K_8e-05_seed_474_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
7e-05,475,0.3,1e-05,1e-05,1000.0,K_7e-05_seed_475_germ_band_push_0.3_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
8e-05,476,0.3,1e-05,1e-05,1000.0,K_8e-05_seed_476_germ_band_push_0.3_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
7e-05,477,0.35,1e-05,1e-05,1000.0,K_7e-05_seed_477_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
7e-05,478,0.2,1e-05,1e-05,1000.0,K_7e-05_seed_478_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
7e-05,479,0.4,1e-05,1e-05,1000.0,K_7e-05_seed_479_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
7e-05,480,0.25,1e-05,1e-05,1000.0,K_7e-05_seed_480_germ_band_push_0.25_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
7e-05,481,0.1,1e-05,1e-05,1000.0,K_7e-05_seed_481_germ_band_push_0.1_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
7e-05,482,0.05,1e-05,1e-05,1000.0,K_7e-05_seed_482_germ_band_push_0.05_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
7e-05,483,0.0,1e-05,1e-05,1000.0,K_7e-05_seed_483_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
8e-05,484,0.4,1e-05,1e-05,1000.0,K_8e-05_seed_484_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
7e-05,485,0.15,1e-05,1e-05,1000.0,K_7e-05_seed_485_germ_band_push_0.15_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,486,0.0,1e-05,1e-05,1000.0,K_0.00011_seed_486_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,487,0.05,1e-05,1e-05,1000.0,K_0.00011_seed_487_germ_band_push_0.05_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,488,0.1,1e-05,1e-05,1000.0,K_0.00011_seed_488_germ_band_push_0.1_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,489,0.15,1e-05,1e-05,1000.0,K_0.00011_seed_489_germ_band_push_0.15_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,490,0.2,1e-05,1e-05,1000.0,K_0.00011_seed_490_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,491,0.25,1e-05,1e-05,1000.0,K_0.00011_seed_491_germ_band_push_0.25_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,492,0.3,1e-05,1e-05,1000.0,K_0.00011_seed_492_germ_band_push_0.3_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,493,0.4,1e-05,1e-05,1000.0,K_0.00011_seed_493_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00012,494,0.1,1e-05,1e-05,1000.0,K_0.00012_seed_494_germ_band_push_0.1_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
9e-05,495,0.4,1e-05,1e-05,1000.0,K_9e-05_seed_495_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
9e-05,496,0.35,1e-05,1e-05,1000.0,K_9e-05_seed_496_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
9e-05,497,0.3,1e-05,1e-05,1000.0,K_9e-05_seed_497_germ_band_push_0.3_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
9e-05,498,0.25,1e-05,1e-05,1000.0,K_9e-05_seed_498_germ_band_push_0.25_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
9e-05,499,0.2,1e-05,1e-05,1000.0,K_9e-05_seed_499_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
9e-05,500,0.15,1e-05,1e-05,1000.0,K_9e-05_seed_500_germ_band_push_0.15_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
9e-05,501,0.1,1e-05,1e-05,1000.0,K_9e-05_seed_501_germ_band_push_0.1_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
9e-05,502,0.0,1e-05,1e-05,1000.0,K_9e-05_seed_502_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
8e-05,503,0.15,1e-05,1e-05,1000.0,K_8e-05_seed_503_germ_band_push_0.15_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
8e-05,504,0.1,1e-05,1e-05,1000.0,K_8e-05_seed_504_germ_band_push_0.1_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
8e-05,505,0.05,1e-05,1e-05,1000.0,K_8e-05_seed_505_germ_band_push_0.05_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
8e-05,506,0.0,1e-05,1e-05,1000.0,K_8e-05_seed_506_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,507,0.35,1e-05,1e-05,1000.0,K_0.00011_seed_507_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
9e-05,508,0.05,1e-05,1e-05,1000.0,K_9e-05_seed_508_germ_band_push_0.05_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,509,0.05,1e-05,1e-05,1000.0,K_0.00013_seed_509_germ_band_push_0.05_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
8e-05,510,0.2,1e-05,1e-05,1000.0,K_8e-05_seed_510_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.0001,511,0.25,1e-05,1e-05,1000.0,K_0.0001_seed_511_germ_band_push_0.25_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.0001,512,0.2,1e-05,1e-05,1000.0,K_0.0001_seed_512_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.0001,513,0.15,1e-05,1e-05,1000.0,K_0.0001_seed_513_germ_band_push_0.15_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.0001,514,0.1,1e-05,1e-05,1000.0,K_0.0001_seed_514_germ_band_push_0.1_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.0001,515,0.05,1e-05,1e-05,1000.0,K_0.0001_seed_515_germ_band_push_0.05_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.0001,516,0.0,1e-05,1e-05,1000.0,K_0.0001_seed_516_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
7e-05,517,0.4,1e-05,1e-05,1000.0,K_7e-05_seed_517_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
7e-05,518,0.35,1e-05,1e-05,1000.0,K_7e-05_seed_518_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
7e-05,519,0.3,1e-05,1e-05,1000.0,K_7e-05_seed_519_germ_band_push_0.3_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
7e-05,520,0.25,1e-05,1e-05,1000.0,K_7e-05_seed_520_germ_band_push_0.25_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
7e-05,521,0.2,1e-05,1e-05,1000.0,K_7e-05_seed_521_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
7e-05,522,0.15,1e-05,1e-05,1000.0,K_7e-05_seed_522_germ_band_push_0.15_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
7e-05,523,0.1,1e-05,1e-05,1000.0,K_7e-05_seed_523_germ_band_push_0.1_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
7e-05,524,0.05,1e-05,1e-05,1000.0,K_7e-05_seed_524_germ_band_push_0.05_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
7e-05,525,0.0,1e-05,1e-05,1000.0,K_7e-05_seed_525_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.0001,526,0.3,1e-05,1e-05,1000.0,K_0.0001_seed_526_germ_band_push_0.3_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,527,0.0,1e-05,1e-05,1000.0,K_0.00013_seed_527_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.0001,528,0.35,1e-05,1e-05,1000.0,K_0.0001_seed_528_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,529,0.4,1e-05,1e-05,1000.0,K_0.00013_seed_529_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
6e-05,530,0.4,1e-05,1e-05,1000.0,K_6e-05_seed_530_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
6e-05,531,0.35,1e-05,1e-05,1000.0,K_6e-05_seed_531_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
6e-05,532,0.3,1e-05,1e-05,1000.0,K_6e-05_seed_532_germ_band_push_0.3_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
6e-05,533,0.25,1e-05,1e-05,1000.0,K_6e-05_seed_533_germ_band_push_0.25_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
6e-05,534,0.2,1e-05,1e-05,1000.0,K_6e-05_seed_534_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
6e-05,535,0.15,1e-05,1e-05,1000.0,K_6e-05_seed_535_germ_band_push_0.15_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
6e-05,536,0.1,1e-05,1e-05,1000.0,K_6e-05_seed_536_germ_band_push_0.1_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
6e-05,537,0.05,1e-05,1e-05,1000.0,K_6e-05_seed_537_germ_band_push_0.05_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
6e-05,538,0.0,1e-05,1e-05,1000.0,K_6e-05_seed_538_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,539,0.1,1e-05,1e-05,1000.0,K_0.00013_seed_539_germ_band_push_0.1_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,540,0.15,1e-05,1e-05,1000.0,K_0.00013_seed_540_germ_band_push_0.15_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,541,0.2,1e-05,1e-05,1000.0,K_0.00013_seed_541_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,542,0.25,1e-05,1e-05,1000.0,K_0.00013_seed_542_germ_band_push_0.25_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,543,0.3,1e-05,1e-05,1000.0,K_0.00013_seed_543_germ_band_push_0.3_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,544,0.35,1e-05,1e-05,1000.0,K_0.00013_seed_544_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.0001,545,0.4,1e-05,1e-05,1000.0,K_0.0001_seed_545_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
8e-05,546,0.25,1e-05,1e-05,1000.0,K_8e-05_seed_546_germ_band_push_0.25_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00012,547,0.05,1e-05,1e-05,1000.0,K_0.00012_seed_547_germ_band_push_0.05_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00014,548,0.05,1e-05,1e-05,1000.0,K_0.00014_seed_548_germ_band_push_0.05_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00014,549,0.25,1e-05,1e-05,1000.0,K_0.00014_seed_549_germ_band_push_0.25_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00014,550,0.2,1e-05,1e-05,1000.0,K_0.00014_seed_550_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00014,551,0.15,1e-05,1e-05,1000.0,K_0.00014_seed_551_germ_band_push_0.15_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00014,552,0.1,1e-05,1e-05,1000.0,K_0.00014_seed_552_germ_band_push_0.1_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00014,553,0.0,1e-05,1e-05,1000.0,K_0.00014_seed_553_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
8e-05,554,0.3,1e-05,1e-05,1000.0,K_8e-05_seed_554_germ_band_push_0.3_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
8e-05,555,0.35,1e-05,1e-05,1000.0,K_8e-05_seed_555_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
8e-05,556,0.4,1e-05,1e-05,1000.0,K_8e-05_seed_556_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00014,557,0.35,1e-05,1e-05,1000.0,K_0.00014_seed_557_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00014,558,0.4,1e-05,1e-05,1000.0,K_0.00014_seed_558_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00014,559,0.3,1e-05,1e-05,1000.0,K_0.00014_seed_559_germ_band_push_0.3_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00012,560,0.4,1e-05,1e-05,1000.0,K_0.00012_seed_560_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00012,561,0.35,1e-05,1e-05,1000.0,K_0.00012_seed_561_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00012,562,0.3,1e-05,1e-05,1000.0,K_0.00012_seed_562_germ_band_push_0.3_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00012,563,0.25,1e-05,1e-05,1000.0,K_0.00012_seed_563_germ_band_push_0.25_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00012,564,0.2,1e-05,1e-05,1000.0,K_0.00012_seed_564_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00012,565,0.15,1e-05,1e-05,1000.0,K_0.00012_seed_565_germ_band_push_0.15_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00012,566,0.0,1e-05,1e-05,1000.0,K_0.00012_seed_566_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.0001,567,0.35,1e-05,1e-05,1000.0,K_0.0001_seed_567_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.0001,568,0.1,1e-05,1e-05,1000.0,K_0.0001_seed_568_germ_band_push_0.1_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.0001,569,0.25,1e-05,1e-05,1000.0,K_0.0001_seed_569_germ_band_push_0.25_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.0001,570,0.4,1e-05,1e-05,1000.0,K_0.0001_seed_570_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.0001,571,0.2,1e-05,1e-05,1000.0,K_0.0001_seed_571_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.0001,572,0.15,1e-05,1e-05,1000.0,K_0.0001_seed_572_germ_band_push_0.15_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.0001,573,0.3,1e-05,1e-05,1000.0,K_0.0001_seed_573_germ_band_push_0.3_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
