K,int_curvature_CF,seed,germ_band_push,noise_scale,dt,t_final,add_MD_bool,add_CF_bool,CF_position,t_CF,path,t_at_final,nb_folds_at_final,avg_depth_at_final,max_depth_at_final,CF_area_of_influence_ref_at_final,CF_area_of_influence_current_at_final,t_at_maxBendEnergy,nb_folds_at_maxBendEnergy,avg_depth_at_maxBendEnergy,max_depth_at_maxBendEnergy,CF_area_of_influence_ref_at_maxBendEnergy,CF_area_of_influence_current_at_maxBendEnergy
0.0001,5.0,40,0.2,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_5.0_seed_40_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,2,0.1224413667511762,0.38825298267539277,0.0,0.0,5.9999999999420215,1,0.017817821573059736,0.17184273793499574,0.32218357633930783,0.3277098357187639
0.0001,5.0,41,0.4,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_5.0_seed_41_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,2,0.10052518804779012,0.35170074276343605,0.0,0.0,5.9999999999420215,1,0.025679451443398046,0.22377504903326673,0.4142360267219672,0.42395833501115543
0.0001,7.5,42,0.0,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_7.5_seed_42_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,2,0.14892561326580384,0.3481091445253822,0.0,0.0,156.00000003831698,2,0.15046947232173194,0.3904972485435506,0.0,0.0
0.0001,5.0,43,0.0,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_5.0_seed_43_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,2,0.14933224418500696,0.353006213401587,0.0,0.0,216.00000005736183,2,0.15486359885312573,0.3937155159757548,0.0,0.0
0.0001,7.5,44,0.4,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_7.5_seed_44_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,2,0.10216420042826352,0.3620439690081574,0.0,0.0,5.9999999999420215,1,0.028130971207811335,0.23815874553891464,0.43724913931763204,0.4565497653889115
0.0001,0.5,45,0.0,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_0.5_seed_45_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,1,0.0761441655185019,0.25701071743316917,1.150655629783242,1.1563464623662747,365.99999979233513,1,0.06914952833633502,0.242753158794657,1.0355900668049178,1.0439078772331953
0.0001,0.5,46,0.2,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_0.5_seed_46_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,1,0.1092257925350524,0.3761259113020079,1.1966818549745715,1.20514811870306,17.99999999948773,1,0.017768792478285892,0.16584255788339325,0.3451966889349727,0.33523698848253247
0.0001,0.5,47,0.4,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_0.5_seed_47_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,2,0.12405124924776453,0.3449552775355413,1.1736687423789067,1.1758483488989295,17.99999999948773,2,0.046831960810610224,0.2578946922611379,0.5293015897002914,0.5333524144548192
0.0001,5.0,48,0.4,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_5.0_seed_48_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,2,0.10281222575458297,0.3575286117884994,0.0,0.0,5.9999999999420215,1,0.025717988698636726,0.22356110717858726,0.4142360267219672,0.4257748609137893
0.0001,5.0,49,0.2,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_5.0_seed_49_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,2,0.12176447944728935,0.3944070480856079,0.0,0.0,5.9999999999420215,1,0.017778032761203523,0.17239349695823583,0.32218357633930783,0.32706889136120404
